Roll_Code,Math,English,Science,Total,Year
2022_A10001,22,60,61,143,2022
2022_B10002,6,20,31,57,2022
2022_A10003,19,40,30,89,2022
2022_B10004,4,39,75,118,2022
2021_C10005,66,30,24,120,2021
2021_A10006,70,96,52,218,2021
2022_C10007,33,28,66,127,2022
2022_C10008,88,37,99,224,2022
2021_C10009,79,25,61,165,2021
2022_A10010,18,47,62,127,2022
2022_A10011,79,17,73,169,2022
2022_A10012,77,58,62,197,2022
2022_B10013,51,32,22,105,2022
2022_C10014,28,12,57,97,2022
2021_C10015,63,94,44,201,2021
2019_B10016,43,97,93,233,2019
2021_A10017,12,54,48,114,2021
2022_B10018,51,52,31,134,2022
2019_B10019,78,75,69,222,2019
2019_A10020,40,20,80,140,2019
2019_C10021,19,52,87,158,2019
2019_C10022,40,34,39,113,2019
2022_B10023,25,64,64,153,2022
2019_C10024,64,40,49,153,2019
2022_B10025,80,54,87,221,2022
2022_B10026,13,37,71,121,2022
2019_A10027,81,31,30,142,2019
2019_B10028,28,32,39,99,2019
2021_C10029,7,90,74,171,2021
2021_B10030,64,65,72,201,2021
2019_C10031,76,25,23,124,2019
2022_C10032,40,78,31,149,2022
2022_A10033,66,61,98,225,2022
2021_A10034,91,60,57,208,2021
2019_A10035,67,36,23,126,2019
2019_A10036,90,30,29,149,2019
2022_B10037,3,93,67,163,2022
2022_C10038,97,54,50,201,2022
2022_A10039,19,39,26,84,2022
2022_A10040,99,94,51,244,2022
2021_B10041,22,61,66,149,2021
2019_C10042,74,53,30,157,2019
2021_A10043,45,75,29,149,2021
2022_A10044,5,49,57,111,2022
2022_C10045,11,83,31,125,2022
2022_C10046,16,51,76,143,2022
2019_A10047,100,94,26,220,2019
2019_A10048,42,19,61,122,2019
2022_B10049,97,20,50,167,2022
2019_B10050,75,57,45,177,2019
2022_B10051,71,34,51,156,2022
2022_C10052,99,95,55,249,2022
2022_B10053,84,56,98,238,2022
2022_C10054,97,94,38,229,2022
2022_A10055,68,16,71,155,2022
2022_B10056,27,89,68,184,2022
2019_A10057,76,91,93,260,2019
2019_A10058,99,80,77,256,2019
2021_A10059,78,78,97,253,2021
2019_C10060,22,50,79,151,2019
2019_C10061,23,51,34,108,2019
2021_A10062,48,78,52,178,2021
2021_A10063,75,91,86,252,2021
2022_A10064,3,16,88,107,2022
2019_A10065,41,97,72,210,2019
2021_B10066,53,65,57,175,2021
2021_A10067,68,74,38,180,2021
2019_A10068,24,13,26,63,2019
2022_B10069,48,93,49,190,2022
2021_A10070,87,24,34,145,2021
2021_A10071,99,16,66,181,2021
2021_A10072,82,32,93,207,2021
2019_A10073,37,27,93,157,2019
2022_C10074,100,24,57,181,2022
